,date,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
19,2022-06-07 01:55:50,PaulNorris14,"Work hard, play hard, feeling bullish today!",Canada,104,23,669,0,$btc … I’m trying to watch the #oilers game 😒,['oilers']
20,2022-06-07 01:55:49,dekentro,I can tell you the future,Antarctica,1094,327,84565,12,"unpublished paper uses extranonces to attribute early miners. finds that certain agents had lots of hashpower in 2009/10, especially early GPU miners. some miners could have attacked network but didnt.

NYT: ""BTC isn't anonymous! decentralization theater!""
https://t.co/H2Cya9cBq4",[]
21,2022-06-07 01:55:49,Ghost_MAGA,"MAGA is rising from the dead, ultra-ly",Somewhere WI,345,417,156456,0,Humpty $BTC having a fall that would crack an egg,[]
22,2022-06-07 01:55:49,melanieEML,I’m just a nerd. I like silly things. I am who I am. Cashapp: $Mel014me #GooCrew #CluCoin $LEOS #OttoSquad #GenSquad #TeamStacks #SlayFam,Here,4661,8298,49894,6078,"I will send $3,000 to someone that retweets and has followed myself ( @OfficialTravlad ) and @MuuInuOfficial in the next 24hrs with both notifications on. #BNB #BSC #BTC #ETH #USDT #Crypto #MuuInu",[]
23,2022-06-07 01:55:48,sukim07353942,,,83,13,427,5,"#BTC #GANN 

Vibe box set to #BTC  Natal 3/1/09
Current leg👇of this cycle ends June 23 

Would be crazy if BTC hits 13k region, which is what a breakdown of the 1 yr sideways channel would have us look towards for a🎯

BTC☀️was @ 13.72° or 13.72k 

Breakout was 13.8k Crazy hey! https://t.co/oKa6abmdRn","['BTC', 'GANN', 'BTC']"
24,2022-06-07 01:55:48,Trader_Joe_LPP,FAKE Joe Rogan. LPP partnered with https://t.co/Yd9ZuBwK0S @unusual_whales,LOVE PEACE PRINTING ,662,23945,68776,0,Wow.  #BTC #Bitcoin DUMPING as fast as $LUNA 🩸🩸🩸🩸🩸🩸🩸🩸🩸 https://t.co/9SMfujs8IX,"['BTC', 'Bitcoin']"
25,2022-06-07 01:55:46,YMatazz,Crypto Investor. #SAFEMOON $MATIC #AAVE #SushiSwap #RISE and King daddy https://t.co/ZwaOPFWK4z,"Chicago, IL",314,204,3686,2,#EverRise $RISE #EverRiseV3 #EverRiseEDU #DeFi #Crypto #Cryptocurrency #BTC #Matic #BNB #EverSwap #MultiChain #EverRiseInu #FTM #BNB https://t.co/P5k9U3uUOF,"['EverRise', 'EverRiseV3', 'EverRiseEDU', 'DeFi', 'Crypto', 'Cryptocurrency', 'BTC', 'Matic', 'BNB', 'EverSwap', 'MultiChain']"
26,2022-06-07 01:55:44,robertojirusta,"“En el mundo de los negocios, el espejo retrovisor es siempre más claro que el parabrisas”

Warren Buffett",Argentina,300,10851,418316,2,Crypto hodlers want Kuroda to say something on rapid BTC falls undesirable :-D,[]
27,2022-06-07 01:55:43,cryptocaleb802,"#TheDogePound #5626 - Take my Free Crypto Mini-Course and prepare for your mewn mission
https://t.co/3AZ7qjF3r6","Denver, CO",2241,6305,76148,1,"Come meet our team in London! @stakecube @SC_Protocol @SC_eSports_

#BTC #StakeCube https://t.co/68eOfW4yrM","['BTC', 'StakeCube']"
28,2022-06-07 01:55:41,poggch,Simply that guy,Your Local Corner Store,240,69,1372,0,@GoochMalooch1 Help my meta mask wallet got hacked. My metamask wallet got hacked my btc is gone!,[]
