,date,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
84,2022-06-07 01:55:12,BEARBULLWHALE,Tracking #Cryptocurrency Bull and Bear Whales across all the major exchanges and markets,Worldwide,179,3831,25842,0,"🐻 BEARWHALE! just SOLD $1,880,106 worth of #Bitcoin #BTC at $29,300 on #Binance Spot Market","['Bitcoin', 'BTC', 'Binance']"
85,2022-06-07 01:55:11,odyzap,I buy and sell magic internet beans. /Journal,Not Financial Advice,111,121,953,0,"First step done. Tommorow CT will be screaming that we have a wedge formation or smth lmao. 
#btc https://t.co/BdqbmVYIMe",['btc']
86,2022-06-07 01:55:11,paisa_bnao,,,95,477,447,0,"Mentioned $Luna #luna2 ...it was at 8$ when i told you not to buy...must watch full video ...posted videos about $Btc weekly update

#bitcoin #etherium #LUNAC  $btc $sol https://t.co/kPg41yaFkP","['luna2', 'bitcoin', 'etherium', 'LUNAC']"
87,2022-06-07 01:55:09,coded_crypto,"Gamer, and crypto. Loves drinking Death Wish Coffee. Music and Game Score producer. NFT game creator. 
#xrp #xrpl #EDM #Orx_Army",Crate ,1241,543,8560,0,$BTC #BTC lmao. Nice. https://t.co/m1fek7CwsM,['BTC']
88,2022-06-07 01:55:09,ddurrrrrrrr,"digital art connersore
shitcoin trader
student of the market
gripto since '17",gripto,496,113,491,0,"@ThinkingBitmex OMG $30K LOST 🚨 
EMERGENCY SPACES ... NOW
FAITH IN CHIMP ... FADING
0.6 BTC REFUND ... INITIATED
BERAS 1 ... BULLAS 0",[]
89,2022-06-07 01:55:06,CheatmodeXBT,"Education | PA trader | Cheatmode

Free alpha No BS
https://t.co/qZxqoqIq8B",Parent's basement ,204,2040,672,0,"$BTC 
Change of plan, hitting two was good enough. 
MMs knows they can’t just keep letting my charts play out 

New chart soon ✍️

/Thread closed",[]
90,2022-06-07 01:55:05,jonah_marjorie,Cake🚗,,96,16,8,0,#saitama - 1000x Gem🐺#SaitaMask#SaitamaWolfPack #Crypto#CryptoNews#cryptocurrency#NFT #HODL #DeFi $BTC $ETH $B…,"['saitama', 'HODL', 'DeFi']"
91,2022-06-07 01:55:04,GFX_Signals,"Real-time analysis of #crypto, #forex, #indexes and #gold to identify bullish and bearish trends. 24/7/365. Powered by @galileofx",World,1,62,3754,0,BTC/USD New Low in the last 24 hours:29373 #btcusd #cryptosignals #tradingbot #galileofx,"['btcusd', 'cryptosignals', 'tradingbot', 'galileofx']"
92,2022-06-07 01:55:03,thevonmojo,Music | Hoops | Investing Maxi 🇺🇸🇹🇹🇾🇪🌋 #bitcoin #Music #NBA🏀 #MLB⚾️ #NFL🏈#Behaviorism #Philosophy #Comedy 🏝,United States,640,26,860,5,$BTC 29.4k bears doing damage https://t.co/i3QYi1oSxz,[]
93,2022-06-07 01:55:02,whalesradar_com,"https://t.co/oZVtGZzi5n

Crypto Whale Radar and Scanner

#Crypto #Bitcoin #Cryptocurrency #RastGele

Whales Radar is brand of @FxCanli",İstanbul,1,620,10252,0,"#USDTIDRT #IDRT 
Signal #1  

Last Signal: N/A 
Before: 14438.00 
After: 14446.00 🟢(0.06%) 
Volume Chng: 464,737,361 USDT (5.39%) 

Daily  
Price Chng: (0.06%)🟢 
Volume: 1,228,524,631 USDT 

🚀PRO ➡️ https://t.co/1EgdzYf2ot 🐳

#Crypto #Bitcoin #BTC #ETH","['USDTIDRT', 'IDRT', 'Crypto', 'Bitcoin', 'BTC', 'ETH']"
94,2022-06-07 01:55:00,BitcoinpriceL,"🔗 Linking News to Bitcoin Price 📈
🔗 Price ALERTS
🔗 All you need to know about #Bitcoin at a glance https://t.co/e6I0WpfDcs
🔗 Please FOLLOW to support the project",,259,368,1184,0,"#Bitcoin PRICE MOVEMENT ALERT: BTC drops to $29,432 from $29,868 in less than 12 minutes (so far -1.46% change) | Last price:: $29,458 | Follow this down move in Real-time Chart: https://t.co/tuoG8jDx54 https://t.co/Xgz62TCdjO",['Bitcoin']
95,2022-06-07 01:54:59,aclosmurf,Saving noobs w/uncannily accurate TA& Exposing Fake gurus.Always Free - NFA.Where to trade?Futures:https://t.co/oJjSvGLeU7 /Spot:-20% fees https://t.co/zuDiRTQtx3,Crypto Gotham,125,1777,4569,0,"@ThinkingBitmex It’s not coming lol…

#cryptotrading #btc is so ez https://t.co/HJsd1Ywdw3","['cryptotrading', 'btc']"
96,2022-06-07 01:54:59,tbooncho888,,,3213,191,982,0,"btc retesting the triangle breakout point....on news of SEC investing BNB...panic strike again or rather the wave pattern has already predicted this std move, and btc gap closing cme...29500 region on this retesting... https://t.co/SGZzwDoVGO",[]
97,2022-06-07 01:54:58,Teslauwin,"🌬️Sic Parvis Magna💲
#BTC #ETH #BNB #SOL 
#MrWizard",California,2912,108,28480,0,"btc is a King and always be a king, Doge is a prince, always be a prince, eth naaaaaah, eth is fvking politian in goverment.
🤣",[]
98,2022-06-07 01:54:57,crypt_enthu,#Bitcoin,"Virginia, USA",241,136,1991,0,@BTC_Archive Lol. Dump as expected,[]
99,2022-06-07 01:54:57,AstroWhale21,Whale Watcher | Testing in Prod,Floating Around Space,1,537,85168,0,"🔴 Binance BTCUSDT - 10.3 $BTC valued at $302,929",[]
