Timestamp,trade-volume
2019-06-25,90826286.85
2019-06-26,188227336.128
2019-06-27,521683547.94
2019-06-28,423175771.1325
2019-06-29,251088678.311
2019-06-30,184877335.6224
2019-07-01,172764921.5896
2019-07-02,171482109.072
2019-07-03,240430090.968
2019-07-04,273546634.0104
2019-07-05,130466909.3343
2019-07-06,124193828.6496
2019-07-07,85554897.9616
2019-07-08,67612787.4615
2019-07-09,277905476.8152
2019-07-10,364111378.7824
2019-07-11,507237487.92
2019-07-12,400745298.7161
2019-07-13,223317773.9139
2019-07-14,237143042.963
2019-07-15,163504273.436
2019-07-16,334140371.565
2019-07-17,413796084.0888
2019-07-18,350207291.3724
2019-07-19,400333480.9952
2019-07-20,266367992.225
2019-07-21,231375270.501
2019-07-22,149533508.4911
2019-07-23,207597158.399
2019-07-24,198778566.675
2019-07-25,207985687.0299
2019-07-26,132194259.4601
2019-07-27,122793165.173
2019-07-28,196200932.7257
2019-07-29,93425734.9
2019-07-30,110257993.9584
2019-07-31,115667921.712
2019-08-01,171671948.947
2019-08-02,173753010.8067
2019-08-03,194052551.7015
2019-08-04,142750701.8145
2019-08-05,165486450.2013
2019-08-06,360876818.5806
2019-08-07,385189642.2768
2019-08-08,364388175.423
2019-08-09,211151931.4766
2019-08-10,180122399.3216
2019-08-11,185394290.3946
2019-08-12,104661395.056
2019-08-13,84492311.643
2019-08-14,193935252.602
2019-08-15,280655886.4672
2019-08-16,339458149.8472
2019-08-17,242929696.7552
2019-08-18,91003712.31
2019-08-19,77572050.192
2019-08-20,171807868.2802
2019-08-21,122315070.3088
2019-08-22,236246172.908
2019-08-23,141841653.5382
2019-08-24,122936632.6763
2019-08-25,117754910.928
2019-08-26,102865892.8206
2019-08-27,189624308.4428
2019-08-28,102638637.402
2019-08-29,203978693.8294
2019-08-30,157535719.826
2019-08-31,112305189.2666
2019-09-01,40437358.647
2019-09-02,45179221.4802
2019-09-03,153032806.8368
2019-09-04,228788746.9482
2019-09-05,196753395.5872
2019-09-06,90967493.33
2019-09-07,210268387.8048
2019-09-08,65192692.244
2019-09-09,63124156.1445
2019-09-10,133582936.8664
2019-09-11,109189912.0734
2019-09-12,122176795.0656
2019-09-13,114864653.9296
2019-09-14,95214496.607
2019-09-15,55063941.3121
2019-09-16,40801052.2218
2019-09-17,107174306.4193
2019-09-18,91392243.66
2019-09-19,90728914.3667
2019-09-20,157389488.432
2019-09-21,89963558.4697
2019-09-22,69869004.1574
2019-09-23,59501805.669
2019-09-24,120001577.1514
2019-09-25,491431838.3715
2019-09-26,269030045.1831
2019-09-27,286339496.0408
2019-09-28,167290267.716
2019-09-29,99366389.5
2019-09-30,92992826.6976
2019-10-01,173526590.0116
2019-10-02,170270297.36
2019-10-03,91246610.9394
2019-10-04,116784278.3448
2019-10-05,92819801.4144
2019-10-06,56545050.0769
2019-10-07,100404346.4472
2019-10-08,144876046.239
2019-10-09,68942273.4
2019-10-10,174962381.1936
2019-10-11,113137559.64
2019-10-12,138474726.8121
2019-10-13,30579541.6473
2019-10-14,65962338.316
2019-10-15,61644447.2176
2019-10-16,86738049.996
2019-10-17,117969721.3909
2019-10-18,79993882.9404
2019-10-19,94710382.216
2019-10-20,53229503.8836
2019-10-21,90340986.7572
2019-10-22,78014940.8592
2019-10-23,89353651.5172
2019-10-24,221341213.8308
2019-10-25,75975960.6024
2019-10-26,333681035.1369
2019-10-27,657396445.266
2019-10-28,290708092.5242
2019-10-29,233830897.3968
2019-10-30,169991136.6705
2019-10-31,145730105.1756
2019-11-01,160663136.8662
2019-11-02,107433320.8734
2019-11-03,53740264.7922
2019-11-03,47020646.3232
2019-11-04,103857828.9165
2019-11-05,97692940.8928
2019-11-06,78710164.828
2019-11-07,73169474.0496
2019-11-08,159478900.1724
2019-11-09,40216982.8143
2019-11-10,58075876.8544
2019-11-11,99417730.8838
2019-11-12,84092098.4904
2019-11-13,53278229.9502
2019-11-14,62094349.5168
2019-11-15,102346506.69
2019-11-16,27218439.49
2019-11-17,42762607.2801
2019-11-18,98039358.9687
2019-11-19,80797818.392
2019-11-20,62317220.548
2019-11-21,152565570.3701
2019-11-22,283120965.8225
2019-11-23,74562140.9344
2019-11-24,88831996.034
2019-11-25,250687896.39
2019-11-26,108471398.9148
2019-11-27,220499982.9504
2019-11-28,99775070.97
2019-11-29,117995230.1591
2019-11-30,78337203.7668
2019-12-01,88571039.0699
2019-12-02,71586469.665
2019-12-03,50091304.5022
2019-12-04,142535673.455
2019-12-05,85470713.7483
2019-12-06,77922849.9525
2019-12-07,34352533.7937
2019-12-08,32114286.4924
2019-12-09,108414489.4552
2019-12-10,66161513.2368
2019-12-11,53833378.0026
2019-12-12,75073234.6496
2019-12-13,52683167.6199
2019-12-14,39393109.051
2019-12-15,35264356.5942
2019-12-16,91191811.2654
2019-12-17,106173720.1728
2019-12-18,208624105.2012
2019-12-19,92465911.4364
2019-12-20,55147309.6694
2019-12-21,25368503.344
2019-12-22,72767893.2698
2019-12-23,121983509.7344
2019-12-24,76336714.458
2019-12-25,39255636.0168
2019-12-26,59760787.208
2019-12-27,71840951.382
2019-12-28,36039614.7447
2019-12-29,46435451
2019-12-30,61748083.664
2019-12-31,47782090.6994
2020-01-01,28600968.8576
2020-01-02,68282971.9003
2020-01-03,136870284.592
2020-01-04,50181826.9238
2020-01-05,48177558.2909
2020-01-06,114010548.1248
2020-01-07,210649283.9079
2020-01-08,224003807.3735
2020-01-09,108323770.4736
2020-01-10,153599795.4414
2020-01-11,75103205.4975
2020-01-12,39375157.8458
2020-01-13,68769719.304
2020-01-14,322001233.9342
2020-01-15,162415225.6691
2020-01-16,113463579.9655
