Timestamp,n-transactions
2019-06-25,361385
2019-06-26,399624
2019-06-27,361050
2019-06-28,407094
2019-06-29,356682
2019-06-30,330731
2019-07-01,336862
2019-07-02,373409
2019-07-03,397554
2019-07-04,370704
2019-07-05,378453
2019-07-06,348674
2019-07-07,313273
2019-07-08,378966
2019-07-09,365588
2019-07-10,315664
2019-07-11,325776
2019-07-12,360899
2019-07-13,304545
2019-07-14,303287
2019-07-15,349111
2019-07-16,363337
2019-07-17,324892
2019-07-18,315745
2019-07-19,299891
2019-07-20,323002
2019-07-21,283934
2019-07-22,319399
2019-07-23,320352
2019-07-24,295589
2019-07-25,336536
2019-07-26,319612
2019-07-27,283892
2019-07-28,272974
2019-07-29,333619
2019-07-30,328375
2019-07-31,361337
2019-08-01,335943
2019-08-02,349556
2019-08-03,327588
2019-08-04,298805
2019-08-05,339136
2019-08-06,368348
2019-08-07,370909
2019-08-08,336181
2019-08-09,341125
2019-08-10,304138
2019-08-11,273280
2019-08-12,297446
2019-08-13,370747
2019-08-14,359997
2019-08-15,355644
2019-08-16,323625
2019-08-17,288256
2019-08-18,276365
2019-08-19,330473
2019-08-20,333304
2019-08-21,308808
2019-08-22,322453
2019-08-23,340220
2019-08-24,304481
2019-08-25,288934
2019-08-26,318219
2019-08-27,325984
2019-08-28,341200
2019-08-29,346734
2019-08-30,349200
2019-08-31,342195
2019-09-01,285468
2019-09-02,327248
2019-09-03,370631
2019-09-04,324741
2019-09-05,352410
2019-09-06,365531
2019-09-07,314429
2019-09-08,288507
2019-09-09,316852
2019-09-10,339858
2019-09-11,338276
2019-09-12,335868
2019-09-13,308856
2019-09-14,299894
2019-09-15,274146
2019-09-16,347341
2019-09-17,343778
2019-09-18,363185
2019-09-19,346110
2019-09-20,340929
2019-09-21,336013
2019-09-22,318713
2019-09-23,288149
2019-09-24,353263
2019-09-25,347747
2019-09-26,355775
2019-09-27,303903
2019-09-28,314433
2019-09-29,285542
2019-09-30,311396
2019-10-01,337244
2019-10-02,326557
2019-10-03,326514
2019-10-04,337222
2019-10-05,326683
2019-10-06,277613
2019-10-07,328803
2019-10-08,336354
2019-10-09,311049
2019-10-10,345048
2019-10-11,345425
2019-10-12,301693
2019-10-13,279487
2019-10-14,304466
2019-10-15,339698
2019-10-16,338473
2019-10-17,334105
2019-10-18,339390
2019-10-19,304736
2019-10-20,289796
2019-10-21,351791
2019-10-22,341464
2019-10-23,349320
2019-10-24,303843
2019-10-25,328598
2019-10-26,305722
2019-10-27,256253
2019-10-28,309611
2019-10-29,307953
2019-10-30,314163
2019-10-31,293779
2019-11-01,316187
2019-11-02,284443
2019-11-03,294367
2019-11-03,310979
2019-11-04,332839
2019-11-05,314698
2019-11-06,324487
2019-11-07,311441
2019-11-08,306163
2019-11-09,299712
2019-11-10,326707
2019-11-11,301382
2019-11-12,318945
2019-11-13,350023
2019-11-14,325145
2019-11-15,283468
2019-11-16,264370
2019-11-17,304671
2019-11-18,327630
2019-11-19,321086
2019-11-20,323954
2019-11-21,310539
2019-11-22,306424
2019-11-23,267368
2019-11-24,279470
2019-11-25,321310
2019-11-26,317597
2019-11-27,309623
2019-11-28,311290
2019-11-29,277458
2019-11-30,274621
2019-12-01,314730
2019-12-02,336512
2019-12-03,337284
2019-12-04,311468
2019-12-05,315386
2019-12-06,285284
2019-12-07,278853
2019-12-08,313629
2019-12-09,320064
2019-12-10,291248
2019-12-11,311795
2019-12-12,322888
2019-12-13,293496
2019-12-14,263441
2019-12-15,327085
2019-12-16,319254
2019-12-17,314249
2019-12-18,319555
2019-12-19,332657
2019-12-20,311118
2019-12-21,281070
2019-12-22,304845
2019-12-23,290436
2019-12-24,244666
2019-12-25,296063
2019-12-26,322204
2019-12-27,298287
2019-12-28,279925
2019-12-29,324497
2019-12-30,293447
2019-12-31,251735
2020-01-01,295567
2020-01-02,316517
2020-01-03,287215
2020-01-04,287779
2020-01-05,299146
2020-01-06,344079
2020-01-07,318019
2020-01-08,322057
2020-01-09,330734
2020-01-10,309070
2020-01-11,283136
2020-01-12,291597
2020-01-13,346953
2020-01-14,332658
2020-01-15,325947
2020-01-16,323992
2020-01-17,287237
2020-01-18,283960
2020-01-19,313661
2020-01-20,315210
2020-01-21,328586
2020-01-22,329918
2020-01-23,313887
2020-01-24,285584
2020-01-25,261247
2020-01-26,279240
2020-01-27,340052
2020-01-28,340562
2020-01-29,332558
2020-01-30,334434
2020-01-31,303724
2020-02-01,290879
2020-02-02,331012
2020-02-03,309190
2020-02-04,368604
2020-02-05,315370
2020-02-06,334938
2020-02-07,318363
2020-02-08,317070
2020-02-09,298104
2020-02-10,365583
2020-02-11,344615
2020-02-12,340081
2020-02-13,326078
2020-02-14,322721
2020-02-15,292236
2020-02-16,341491
2020-02-17,331050
2020-02-18,334805
2020-02-19,316626
2020-02-20,338484
2020-02-21,304597
2020-02-22,285579
2020-02-23,328890
2020-02-24,334593
2020-02-25,329967
2020-02-26,338781
2020-02-27,368590
2020-02-28,307527
2020-02-29,309849
2020-03-01,342821
2020-03-02,342324
2020-03-03,358745
2020-03-04,349529
2020-03-05,338383
2020-03-06,313312
2020-03-07,302694
2020-03-09,348211
2020-03-10,329698
2020-03-11,287492
2020-03-12,349978
2020-03-13,276798
2020-03-14,279828
2020-03-15,223230
2020-03-16,270399
2020-03-17,278326
2020-03-18,231254
2020-03-19,265689
2020-03-20,284594
2020-03-21,245896
2020-03-22,209154
2020-03-23,259816
2020-03-24,278131
2020-03-25,218176
2020-03-26,292828
2020-03-27,276546
2020-03-28,240627
2020-03-29,232820
2020-03-30,276828
2020-03-31,290227
2020-04-01,281855
2020-04-02,299176
2020-04-03,278763
2020-04-04,253274
2020-04-05,240259
2020-04-06,280470
2020-04-07,312770
2020-04-08,286563
2020-04-09,286706
2020-04-10,288585
2020-04-11,247852
2020-04-12,228529
2020-04-13,288113
2020-04-14,299391
2020-04-15,310253
2020-04-16,322903
2020-04-17,284222
2020-04-18,289134
2020-04-19,251984
2020-04-20,310810
2020-04-21,310851
2020-04-22,278755
2020-04-23,329045
2020-04-24,320055
2020-04-25,280805
2020-04-26,252833
2020-04-27,311217
2020-04-28,323475
2020-04-29,331401
2020-04-30,321972
