Timestamp,hash-rate
2019-06-26,57826747.811136745
2019-06-27,57195336.55205245
2019-06-28,57552683.32654218
2019-06-29,59739282.95366378
2019-06-30,62124770.89416702
2019-07-01,61165896.3321803
2019-07-02,59910359.24671195
2019-07-03,61131189.48583869
2019-07-04,62141158.69857858
2019-07-05,63617010.31623937
2019-07-06,65082061.0409712
2019-07-07,65307453.46016071
2019-07-08,65363801.564958096
2019-07-09,67335985.23286632
2019-07-10,67824437.59753051
2019-07-11,66436142.99143575
2019-07-12,65329588.909327865
2019-07-13,65236285.6663823
2019-07-14,64282328.423973404
2019-07-15,64994549.13232235
2019-07-16,64362436.053442694
2019-07-17,65398734.029139936
2019-07-18,65656209.35996332
2019-07-19,65141258.69831656
2019-07-20,62180292.39384763
2019-07-21,64497570.37125809
2019-07-22,64755045.70208146
2019-07-23,65527471.69455161
2019-07-24,64272984.394006155
2019-07-25,64609474.122063085
2019-07-26,66422512.06746268
2019-07-27,69452834.29261257
2019-07-28,67789239.82918887
2019-07-29,69400228.24262595
2019-07-30,69983819.38224609
2019-07-31,69900133.59643506
2019-08-01,71948489.15970054
2019-08-02,71436400.26888415
2019-08-03,71628433.6029403
2019-08-04,72972666.94133328
2019-08-05,72460578.05051689
2019-08-06,71750336.91595866
2019-08-07,74077368.96597403
2019-08-08,73980793.8246928
2019-08-09,74960524.08975093
2019-08-10,74566507.44960834
2019-08-11,74200088.84510118
2019-08-12,74359558.14922813
2019-08-13,73747045.07134311
2019-08-14,73463402.59029947
2019-08-15,73392491.97003858
2019-08-16,74456151.27395217
2019-08-17,74456151.27395217
2019-08-18,72825207.00795132
2019-08-19,70938762.0150292
2019-08-20,73295435.9189537
2019-08-21,73227077.85694619
2019-08-22,72283871.86080377
2019-08-23,71347701.30319196
2019-08-24,71988449.44379352
2019-08-25,74482723.32512148
2019-08-26,76729088.15301374
2019-08-27,74848827.7458711
2019-08-28,73547109.00246464
2019-08-29,74631874.62197001
2019-08-30,76367499.61317861
2019-08-31,76873723.56894778
2019-09-01,77307629.81674993
2019-09-02,76949688.48478605
2019-09-03,78440212.48352495
2019-09-04,81222826.59520006
2019-09-05,80706441.94499876
2019-09-06,81396021.79746327
2019-09-07,81911711.33116189
2019-09-08,81381518.7786572
2019-09-09,84070180.80035755
2019-09-10,83840689.86095712
2019-09-11,85217635.49735968
2019-09-12,88889490.52776657
2019-09-13,88354011.66916557
2019-09-14,87940628.05525532
2019-09-15,89554384.74609981
2019-09-16,88427197.63210218
2019-09-17,91022467.59238549
2019-09-18,89597236.24816692
2019-09-19,90214468.3326224
2019-09-20,90625164.50360727
2019-09-21,91702566.29484172
2019-09-22,92631413.6514193
2019-09-23,94235786.35823512
2019-09-24,90098193.58802588
2019-09-25,90858159.60704388
2019-09-26,89338227.56900778
2019-09-27,91434682.17080025
2019-09-28,90645114.94483177
2019-09-29,91035500.50166678
2019-09-30,89341776.99429794
2019-10-01,91495287.63803318
2019-10-02,91195824.21270092
2019-10-03,91433868.6440188
2019-10-04,90160370.38620839
2019-10-05,91519571.94981956
2019-10-06,91428958.51224542
2019-10-07,92606933.20070843
2019-10-08,94872269.14006042
2019-10-09,96593924.45396785
2019-10-10,95687790.07822707
2019-10-11,97179223.93948364
2019-10-12,98269788.05675264
2019-10-13,96238944.05855842
2019-10-14,95855009.81241502
2019-10-15,94280759.19669506
2019-10-16,93734992.14572488
2019-10-17,94440182.24777238
2019-10-18,93485053.29452874
2019-10-19,93854559.43403289
2019-10-20,94685948.24791704
2019-10-21,95055454.38742112
2019-10-22,97272491.22444558
2019-10-23,98750515.78246188
2019-10-24,101132725.05483378
2019-10-25,100207780.94612253
2019-10-26,98845219.46318832
2019-10-27,99339894.79783738
2019-10-28,97034324.12029603
2019-10-29,95375220.792608
2019-10-30,92695122.52125238
2019-10-31,90131834.47920878
2019-11-01,90034604.88430132
2019-11-02,89256768.1250417
2019-11-03,88673390.55559696
2019-11-03,90909671.2384684
2019-11-04,90715212.04865348
2019-11-05,91784737.59263548
2019-11-06,91590278.40282057
2019-11-07,91861270.49919157
2019-11-08,90783752.60638504
2019-11-09,90762607.51459399
2019-11-10,92339819.41656034
2019-11-11,93145448.40611652
2019-11-12,91339031.07613795
2019-11-13,90699368.88504884
2019-11-14,92859958.3564599
2019-11-15,95569879.32016982
2019-11-16,95931202.11533114
2019-11-17,94847233.72984722
2019-11-18,93853596.04315357
2019-11-19,94937564.42863753
2019-11-20,95569879.32016985
2019-11-21,92753027.64806035
2019-11-22,90641806.33248484
2019-11-23,93211181.34439717
2019-11-24,91369153.81570041
2019-11-25,90238982.02037299
2019-11-26,88200108.30866559
2019-11-27,88179081.2317132
2019-11-28,90747073.1583127
2019-11-29,91115589.19144289
2019-11-30,86785525.80216303
2019-12-01,87522557.86842345
2019-12-02,89365138.03407446
2019-12-03,92681782.33224623
2019-12-04,95261394.56415763
2019-12-05,93585274.42810574
2019-12-06,94315177.49841551
2019-12-07,96880815.35477403
2019-12-08,97608664.81120312
2019-12-09,97783740.2179369
2019-12-10,96761138.51699759
2019-12-11,93446264.21635814
2019-12-12,92267470.55522303
2019-12-13,92907581.8474793
2019-12-14,92541803.96619001
2019-12-15,90347136.67845428
2019-12-16,91170136.91135517
2019-12-17,90530025.61909892
2019-12-18,90712914.55974354
2019-12-19,92925415.7375964
2019-12-20,93370681.81483613
2019-12-21,95746472.56319733
2019-12-22,99947585.9399815
2019-12-23,98740227.53509028
2019-12-24,97340808.47463703
2019-12-25,96857362.7365599
2019-12-26,97839066.68251048
2019-12-27,96827572.572071
2019-12-28,94344814.30099222
2019-12-29,93057458.16043285
2019-12-30,95172400.3913518
2019-12-31,97011480.59215085
2020-01-01,101344004.24026024
2020-01-02,99804501.46535622
2020-01-03,103031751.9698384
2020-01-04,105793194.82492833
2020-01-05,107512955.57361655
2020-01-06,105477457.15335813
2020-01-07,109390648.92246719
2020-01-08,107202820.5002444
2020-01-09,108770686.24796285
2020-01-10,106810854.06331484
2020-01-11,106320896.01715283
2020-01-12,105144996.70636413
2020-01-13,105928929.5802233
2020-01-14,102912016.52961266
2020-01-15,104842225.07092443
2020-01-16,106142030.5758593
2020-01-17,108225768.95465343
2020-01-18,106104409.8345753
2020-01-19,107047760.00503173
2020-01-20,108984910.82487467
2020-01-21,110810185.47842275
2020-01-22,111334854.91724102
2020-01-23,111334854.91724102
2020-01-24,110600317.70289545
2020-01-25,113958202.11133245
2020-01-26,113223664.89698687
2020-01-27,110810185.47842276
2020-01-28,110086945.93868305
2020-01-29,111290378.26366591
2020-01-30,111739680.95495507
2020-01-31,111605536.94938122
2020-02-01,110981010.23884849
2020-02-02,111681439.23054679
2020-02-03,114400102.6139399
2020-02-04,113566280.34913361
2020-02-05,113456448.3565329
2020-02-06,111149976.51191804
2020-02-07,110600816.54891446
2020-02-08,109282832.6377059
2020-02-09,110381152.56371304
2020-02-10,107525520.7560946
2020-02-11,109340676.42941175
2020-02-12,107554857.49007317
2020-02-13,108294601.66974202
2020-02-14,107932589.65855002
2020-02-15,108343410.57122573
2020-02-16,107216583.58749144
2020-02-17,111150618.92552446
2020-02-18,111398345.74036531
2020-02-19,111287941.03695574
2020-02-20,109631870.48581052
2020-02-21,111729559.85059437
2020-02-22,112391988.07105252
2020-02-23,112391988.07105252
2020-02-24,110625512.81649765
2020-02-25,109924843.8400675
2020-02-26,109315034.29177237
2020-02-27,111571073.16195461
2020-02-28,111945558.20399804
2020-02-29,110892855.15019846
2020-03-01,114681812.94945891
2020-03-02,115501740.88073805
2020-03-03,116468614.68224476
2020-03-04,119877988.6719989
2020-03-05,121637665.56993648
2020-03-06,121307726.15157305
2020-03-07,123287362.66175291
2020-03-09,121197746.34545204
2020-03-10,121936055.96162646
2020-03-11,120625751.53822832
2020-03-12,116247579.24678098
2020-03-13,116070927.61330411
2020-03-14,113717813.26408868
2020-03-15,111497389.43702026
2020-03-16,108109035.40066276
2020-03-17,104972190.00322084
2020-03-18,103914239.60005285
2020-03-19,101680788.74892049
2020-03-20,96508586.77787718
2020-03-21,94627786.06113414
2020-03-22,94157585.88194844
2020-03-23,95097986.24031994
2020-03-24,94275135.92674486
2020-03-25,95333086.32991287
2020-03-26,94392685.97154133
2020-03-27,97885234.2295388
2020-03-28,100386175.7558384
2020-03-29,99147879.97675763
2020-03-30,99137723.37003462
2020-03-31,100495620.10857132
2020-04-01,100688107.93123947
2020-04-02,104989801.55573513
2020-04-03,104035696.2502867
2020-04-04,101763311.62183787
2020-04-05,103936896.91861507
2020-04-06,106308080.8787355
2020-04-07,104430893.57697347
2020-04-08,105320087.56201862
2020-04-09,104926817.65001218
2020-04-10,105903459.59372948
2020-04-11,109895383.97791174
2020-04-12,110999326.6368086
2020-04-13,109697883.67537546
2020-04-14,114921002.25323077
2020-04-15,115878648.73909876
2020-04-16,118816054.72042176
2020-04-17,118816054.72042176
2020-04-18,115054068.8189836
2020-04-19,114949569.21061032
2020-04-20,114845069.60223703
2020-04-21,113800073.51850417
2020-04-22,112777076.67665617
2020-04-23,109962852.46635233
2020-04-24,109962750.66907203
2020-04-25,113010797.98649304
2020-04-26,111912718.6898519
2020-04-27,111554966.88776174
2020-04-28,110710037.98755717
2020-04-29,111629896.6466346
2020-04-30,113216514.46699287
2020-05-01,112423205.55681373
2020-05-02,112083216.02387974
2020-05-03,113443174.15561531
2020-05-04,116956399.32926574
2020-05-05,118883006.68255791
2020-05-06,119472293.06066506
2020-05-07,120652100.72918221
2020-05-08,122164632.51837364
2020-05-09,121853507.63821308
2020-05-10,120634706.08752494
2020-05-11,121037811.5024568
2020-05-12,121087434.47597237
2020-05-13,119743045.08479336
2020-05-14,115740173.47259879
2020-05-15,111966037.38110098
2020-05-16,110593624.25691998
2020-05-17,109449946.65343569
2020-05-18,101672938.9497433
2020-05-19,98356273.89963916
2020-05-20,94810873.32883821
2020-05-21,93625665.17859997
2020-05-22,94670543.88510194
2020-05-23,92307330.90926416
2020-05-24,90689768.70048092
2020-05-25,91494525.79228355
2020-05-26,90293241.95835559
2020-05-27,90471236.69303167
2020-05-28,92882000.95950735
2020-05-29,92882000.95950735
2020-05-30,94602038.01431303
2020-05-31,98579623.70355113
2020-06-01,102234702.44501315
2020-06-02,103202223.28834139
2020-06-03,103739734.86796816
2020-06-04,103847237.18389343
2020-06-05,105288528.1766404
2020-06-06,109091786.58629324
2020-06-07,111435315.22543454
2020-06-08,110815623.43783526
2020-06-09,112208528.24468684
2020-06-10,113943904.93806837
2020-06-11,114994337.8583901
2020-06-12,117511415.09088524
2020-06-13,115951097.54610994
2020-06-14,112245343.37726866
2020-06-15,113318061.6893015
2020-06-16,110977585.37213866
2020-06-17,110570811.73739882
2020-06-18,110046645.12823595
2020-06-19,105905233.95063551
2020-06-20,105926966.55685537
2020-06-21,105875824.18477465
2020-06-22,105663297.23398964
2020-06-23,108235120.84612934
2020-06-24,110749704.10207164
2020-06-25,110861798.94428022
2020-06-26,112767411.26182595
2020-06-27,115233497.79041466
2020-06-28,115345592.63262323
2020-06-29,115793972.0014575
2020-06-30,116018161.68587463
2020-07-01,114784987.49487363
2020-07-02,117362562.86205761
2020-07-03,119940130.74771547
2020-07-04,119827426.16113047
2020-07-05,121956640.86329533
2020-07-06,123413264.06763048
2020-07-07,124421541.56999876
2020-07-08,125990398.02477519
2020-07-09,124757395.90887435
2020-07-10,124757395.90887435
2020-07-11,124533213.70598333
2020-07-12,124421122.60453776
2020-07-13,123188120.48863705
2020-07-14,123224185.9661429
2020-07-15,122915681.28235175
2020-07-16,122988997.50264347
2020-07-17,121358766.03401919
2020-07-18,117847537.53861405
2020-07-19,116374944.77118148
2020-07-20,115473898.09459306
2020-07-21,115544420.5882285
2020-07-22,113203968.57204905
2020-07-23,113943058.68242149
2020-07-24,113943058.68242149
2020-07-25,119239871.14009078
2020-07-26,120718051.36083578
2020-07-27,124043956.85751176
2020-07-28,124990478.24995862
2020-07-29,126940916.24508919
2020-07-30,126909829.43703118
2020-07-31,126308844.85317619
2020-08-01,124781881.42071433
2020-08-02,123681091.53514747
2020-08-03,121087964.30590864
2020-08-04,122154894.82121405
2020-08-05,122154894.82121405
2020-08-06,119881689.13893877
2020-08-07,122394179.62987462
2020-08-08,122274537.22554435
2020-08-09,122872749.24719577
2020-08-10,124667385.31214991
2020-08-11,121699816.45820163
2020-08-12,122886223.95061506
2020-08-13,126347972.69387735
2020-08-14,125375833.9150075
2020-08-15,127289349.96388794
2020-08-16,129075393.19033508
2020-08-17,128705025.71407251
2020-08-18,127334807.63169725
2020-08-19,125649847.98439695
2020-08-20,123363117.03448935
2020-08-21,123242762.7739679
2020-08-22,121798511.64771043
2020-08-23,119391426.43728134
2020-08-24,119993197.73988862
2020-08-25,123297691.91400088
2020-08-26,122408096.68320657
2020-08-27,123504835.10932179
2020-08-28,122017801.8251035
2020-08-29,123686955.52615394
2020-08-30,125523152.51213108
2020-08-31,122462847.34276728
2020-09-01,122817197.05918725
2020-09-02,126059072.31151097
2020-09-03,126308447.33092049
2020-09-04,126308447.33092049
2020-09-05,122817197.05918725
2020-09-06,122193759.51066346
2020-09-07,125061572.2338729
2020-09-08,128038750.60213156
2020-09-09,127930089.15456907
2020-09-10,128329210.60868761
2020-09-11,131707283.00142741
2020-09-12,131873589.68471669
2020-09-13,135233596.35173258
2020-09-14,136485959.17091686
