date,headline,source
2020-07-15T20:34:54Z,Many popular Twitter accounts simultaneously hacked to spread cryptocurrency scam,TechCrunch
2020-07-16T13:30:00Z,It's Time to Rethink How You Use Twitter,Lifehacker.com
2020-07-18T07:57:25Z,Twitter hackers manipulated staff to access internal systems,BBC News
2020-07-23T11:32:02Z,"Twitter Q2 misses on sales of $683M, loss per share of $0.16 as Covid-19 takes its toll",TechCrunch
2020-07-23T00:48:51Z,Twitter admits hackers accessed DMs of dozens of high-profile accounts,TechCrunch
2020-07-17T20:22:27Z,"Bitcoin hasn't hit $500K, so now John McAfee has to eat his own...well, just click",Mashable
2020-07-15T21:16:32Z,"Elon Musk, Bill Gates, Apple, Uber, and others see their Twitter accounts apparently hacked",CNN
2020-07-17T06:56:25Z,"Trump’s Campaign Manager Wasn’t the Problem, Late Night Agrees",New York Times
2020-07-15T21:54:00Z,"Apple, Musk, Gates, Bezos, and Everyone You’ve Ever Heard of Hacked",Gizmodo.com
2020-07-01T20:45:23Z,New Mac Ransomware Is Even More Sinister Than It Appears,Wired
2020-07-15T22:40:00Z,Twitter Finally Blocks the Worst of Us From Tweeting,Gizmodo.com
date,headline,source
2020-08-06T18:25:29Z,Casa pivots to provide self-custody services to secure bitcoin,TechCrunch
2020-08-01T00:12:01Z,How the Alleged Twitter Hackers Got Caught,Wired
2020-08-03T14:02:34Z,Twitter hacker was previously caught stealing a fortune in Bitcoin,Engadget
2020-08-06T16:16:32Z,The Quest to Liberate $300K of Bitcoin From an Old ZIP File,Wired
2020-08-04T20:30:00Z,This Ransomware Stole $25 Million in 5 Months,Gizmodo.com
2020-08-23T12:19:36Z,FBI and CISA warn against surge in voice phishing campaigns,Engadget
2020-08-07T20:22:54Z,Hackers Flood Reddit With Pro-Trump Takeovers,Wired
2020-08-26T00:00:57Z,Cryptocurrency exchange FTX acquires portfolio tracker Blockfolio,TechCrunch
2020-08-05T15:30:00Z,Pranksters Stream Porn During Zoom Hearing for Alleged 17-Year-Old Twitter Hacker,Gizmodo.com
2020-08-17T15:59:00Z,Bitcoin hits highest in 13 months as 2020 rally gathers steam - Reuters,Reuters
2020-08-14T20:27:28Z,Time to buy Bitcoin: ex-Prudential CEO George Ball - Reuters,Reuters
2020-08-17T08:59:41Z,Satoshi Nakaboto: ‘4 of the 5 largest South Korean banks to offer crypto services’,The Next Web
2020-08-05T10:10:12Z,"Young investors are flooding into bitcoin in the pandemic, while the older generation can't get enough of gold, a team of JPMorgan analysts said",Business Insider
2020-08-20T08:55:11Z,Satoshi Nakaboto: ‘European app claims flight delay compensation for you in BTC’,The Next Web
2020-08-26T09:41:43Z,"Satoshi Nakaboto: ‘IMF says crypto may change how we buy, sell, save, and invest’",The Next Web
2020-08-14T20:13:44Z,"Gold 'certainly' could soar as high as $3000, famed investor Michael Novogratz says",Business Insider
2020-08-13T09:08:27Z,Satoshi Nakaboto: ‘Coinbase to offer cash loans backed by Bitcoin’,The Next Web
2020-08-06T10:21:40Z,"Satoshi Nakaboto: ‘Young investors go for Bitcoin, older ones prefer gold, JPMorgan reports’",The Next Web
2020-08-05T08:28:14Z,"Satoshi Nakaboto: ‘There are now nearly 9,000 Bitcoin ATMs worldwide’",The Next Web
2020-08-03T09:30:43Z,Satoshi Nakaboto: ‘Bitcoin plunges 6% in 24 hours’,The Next Web
date,headline,source
2020-09-10T14:28:00Z,"Crypto Traders Cut Out the Middleman, Simply Rob Victim",Gizmodo.com
2020-09-24T23:16:08Z,'One day everyone will use China's digital currency',BBC News
2020-09-22T06:38:51Z,'The Dark Overlord' hacking group member sentenced to five years in prison,Engadget
2020-09-24T16:00:00Z,How Twitter Survived Its Biggest Hack—and Plans to Stop the Next One,Wired
2020-09-08T06:02:00Z,INSIGHT-How bitcoin met the real world in Africa - Reuters Africa,Reuters
2020-09-08T06:34:00Z,How bitcoin met the real world in Africa - Reuters India,Reuters
2020-09-08T06:14:00Z,How bitcoin met the real world in Africa - Reuters,Reuters
2020-09-23T09:08:34Z,Satoshi Nakaboto: ‘Iran to auction surplus energy to Bitcoin miners’,The Next Web
2020-09-07T08:39:09Z,Satoshi Nakaboto: ‘Kazakhstan to pump $700M into crypto mining’,The Next Web
2020-09-07T09:04:23Z,Learn how to invest in stocks and cryptocurrency for under £30,Mashable
2020-09-10T09:00:54Z,Satoshi Nakaboto: ‘More than 823K addresses now hold more than 1 BTC’,The Next Web
2020-09-17T09:22:01Z,Satoshi Nakaboto: ‘Kraken just got a US banking license’,The Next Web
2020-09-22T09:32:07Z,Satoshi Nakaboto: ‘Bitcoin plunges as stock market continues downward trend’,The Next Web
2020-09-02T09:02:09Z,Satoshi Nakaboto: ‘Pornhub now accepts Bitcoin’,The Next Web
2020-09-03T08:52:31Z,Satoshi Nakaboto: ‘Bitcoin dives 5% after hitting $12K again’,The Next Web
2020-09-08T09:15:23Z,Satoshi Nakaboto: ‘Researchers find new way to launder money with Bitcoin’,The Next Web
2020-09-01T08:57:56Z,Satoshi Nakaboto: ‘Swiss health insurer now accepts Bitcoin as payment’,The Next Web
2020-09-09T09:34:59Z,Satoshi Nakaboto: ‘Just Eat customers in France can now order food with Bitcoin’,The Next Web
2020-09-14T09:35:48Z,Satoshi Nakaboto: ‘Bitcoin hashrate hits new all-time high’,The Next Web
2020-09-24T08:32:32Z,Satoshi Nakaboto: ‘Bitcoin drops another 3% as stock markets continue to fall’,The Next Web
date,headline,source
2020-10-21T13:28:15Z,PayPal to let you buy and sell cryptocurrencies in the US,TechCrunch
2020-10-21T19:49:27Z,PayPal and Venmo will offer and accept cryptocurrency for all online payments,The Verge
2020-10-20T15:40:00Z,Bitcoin Mixer Designed to Bypass Money Laundering Laws Fined $60 Million for Bypassing Money Laundering Laws,Gizmodo.com
2020-10-21T13:49:00Z,PayPal’s Big Crypto Move Is All Hype,Gizmodo.com
2020-10-19T15:57:00Z,"With Instagram, hashtags and bitcoin, young Nigerians boost anti-police protests - Reuters India",Reuters
2020-10-19T10:25:00Z,"With Instagram, hashtags and bitcoin, young Nigerians boost anti-police protests - Reuters.com",Reuters
2020-10-21T22:11:04Z,Daily Crunch: Quibi is shutting down,TechCrunch
2020-10-22T19:06:05Z,Lyft is adding Venmo as a payment option,Engadget
2020-10-21T14:29:34Z,"PayPal adds cryptocurrency buying, selling and shopping to its platform - CNET",CNET
2020-10-21T12:29:00Z,Bitcoin extends gains after PayPal move to accept cryptocurrencies - Reuters UK,Reuters
2020-10-21T12:26:00Z,Bitcoin extends gains after PayPal move to accept cryptocurrencies - Reuters,Reuters
2020-10-21T12:20:00Z,Bitcoin extends gains after PayPal move to accept cryptocurrencies - Reuters India,Reuters
2020-10-12T17:08:00Z,BoE's Bailey sees little intrinsic value in Bitcoin - Reuters,Reuters
2020-10-12T17:12:00Z,BoE's Bailey sees little intrinsic value in Bitcoin - Reuters UK,Reuters
2020-10-01T09:07:02Z,Satoshi Nakaboto: ‘Jack Dorsey slams Coinbase CEO for overlooking its users’ societal issues’,The Next Web
2020-10-06T11:54:00Z,UK watchdog bans Bitcoin-based products for retail investors - Reuters,Reuters
2020-10-02T08:41:04Z,Satoshi Nakaboto: ‘Ethereum miners were 6x more profitable than Bitcoin miners in September’,The Next Web
2020-10-22T16:21:00Z,"Is PayPal's crypto move a game-changer for bitcoin? Probably not, say experts - Reuters India",Reuters
2020-10-21T11:41:00Z,"PayPal to allow cryptocurrency buying, selling and shopping on its network - Reuters",Reuters
2020-10-06T16:27:00Z,UK watchdog bans Bitcoin-based products for retail investors - Reuters UK,Reuters
date,headline,source
2020-11-12T14:00:00Z,An Engineer Gets 9 Years for Stealing $10M From Microsoft,Wired
2020-11-12T21:05:41Z,"PayPal now lets all US users buy, sell and hold cryptocurrency",Engadget
2020-11-05T17:17:41Z,DOJ says it seized over $1 billion in bitcoin from the Silk Road drugs marketplace,TechCrunch
2020-11-20T20:02:17Z,"Bitcoin is flirting with $20,000 again. How high will it go this time?",Mashable
2020-11-25T23:00:00Z,Bitcoin Could Hit $20K Again But This Time No One Cares,Gizmodo.com
2020-11-06T12:15:01Z,The Morning After: Xbox Series X and Series S reviews are in,Engadget
2020-11-05T20:17:33Z,'Individual X' stole $1 billion in crypto from Silk Road. U.S. officials just seized it.,Mashable
2020-11-17T08:26:55Z,"Maisie Williams asks about Bitcoin. Memefest ensues, and Elon Musk joins the party.",Mashable
2020-11-06T19:20:00Z,The DOJ Seized Over a Billion Dollars From Silk Road's Bitcoin Coffers,Gizmodo.com
2020-11-10T21:00:12Z,Microsoft engineer gets nine years for stealing $10M from Microsoft,Ars Technica
2020-11-18T17:12:23Z,"Bitcoin price soars above $18,000, the highest level since 2017",Ars Technica
2020-11-17T19:23:00Z,"Bitcoin hits nearly three-year peak, homes in on record - Reuters.com",Reuters
2020-11-17T05:28:51Z,Hacker Peiter 'Mudge' Zatko takes over as Twitter's head of security,Engadget
2020-11-18T03:30:00Z,Cryptocurrency: Bitcoin hits three-year high as investors jump in - BBC News,BBC News
2020-11-26T03:47:00Z,Bitcoin falls 6% in Asian trade - Reuters,Reuters
2020-11-23T14:16:00Z,Smaller digital coins soar as bitcoin powers on towards record high - Reuters UK,Reuters
2020-11-23T14:48:00Z,Smaller digital coins soar as bitcoin powers on towards record high - Reuters India,Reuters
2020-11-23T14:16:00Z,Smaller digital coins soar as bitcoin powers on towards record high - Reuters UK,Reuters
2020-11-26T03:50:00Z,Bitcoin falls 6% in Asian trade - Reuters India,Reuters
2020-11-19T17:09:00Z,"Inflation-hedge, risk-on bet: What's behind bitcoin's 2020 rally? - Reuters India",Reuters
date,headline,source
2020-12-03T22:00:00Z,Is the New Visa Bitcoin Rewards Card Worth It?,Lifehacker.com
2020-12-16T17:12:40Z,Bitcoin passes $20k and reaches all-time high,TechCrunch
2020-12-16T15:15:00Z,"Bitcoin Blows Past $20,000 Milestone",Gizmodo.com
2020-12-17T16:01:42Z,Is rising usage driving crypto’s recent price boom?,TechCrunch
2020-12-06T22:37:18Z,You can now spend China's digital currency at an online store,Engadget
2020-12-22T11:30:00Z,Ripple Claims Bitcoin Is 'Chinese-Controlled' While Announcing New Lawsuit From SEC,Gizmodo.com
2020-12-09T15:08:56Z,"With investors expecting a Latin American cryptocurrency boom, Mexico’s Bitso raises $62 million",TechCrunch
2020-12-03T18:18:48Z,"As Crypto comes back, Binance-backed Injective Protocol launches Testnet for its DeFi trading platform",TechCrunch
2020-12-17T03:37:28Z,"Bitcoin hits all-time high rising above $20,000",BBC News
2020-12-15T16:45:00Z,"Months later, the great Twitter hack still boggles my mind",The Verge
2020-12-16T16:42:42Z,"Bitcoin price passes $20,000, setting new record",Ars Technica
2020-12-16T14:48:00Z,"Bitcoin breaks above $20,000 for first time - Reuters India",Reuters
2020-12-16T13:52:00Z,"Bitcoin breaks above $20,000 for first time - Reuters",Reuters
2020-12-23T17:42:00Z,"From automation to Bitcoin, Canadian investors see opportunity in 2021 - Reuters UK",Reuters
2020-12-03T15:24:07Z,How American investors are buying bitcoin - Reuters.com,Reuters
2020-12-17T20:49:54Z,"Tax tips for Bitcoin, equity investors - Reuters",Reuters
2020-12-21T20:50:00Z,Hackers Steal Thousands of Customer Emails From Popular Crypto Wallet,Gizmodo.com
2020-12-01T12:53:00Z,Bitcoin slumps more than 5% in volatile trade - Reuters UK,Reuters
2020-12-01T12:53:00Z,Bitcoin slumps more than 5% in volatile trade - Reuters UK,Reuters
2020-12-03T18:03:00Z,Volatile bitcoin not yet a store of value: Fidelity digital assets boss - Reuters India,Reuters
date,headline,source
2021-01-03T03:03:00Z,"Bitcoin Keeps Moving On Up, Reaching $33,000 in Value",Gizmodo.com
2021-01-14T00:57:27Z,"Jack Dorsey defends Twitter’s Trump ban, then enthuses about bitcoin",The Verge
2021-01-18T21:30:25Z,Mt. Gox exchange users may finally get to recover some of their lost Bitcoin,Engadget
2021-01-02T19:14:09Z,"Bitcoin soars past $33,000, its highest ever",CNN
2021-01-14T12:00:50Z,Gemini is launching a credit card with bitcoin rewards,TechCrunch
2021-01-28T05:10:00Z,Learn how to responsibly invest in Bitcoin with this bundle of courses,Mashable
2021-01-21T11:30:00Z,Biden Pick for Treasury Dept Role Worked as Advisor to Controversial Crypto Company Ripple,Gizmodo.com
2021-01-27T19:24:32Z,Could meme stocks like GameStop kill bitcoin’s rise?,TechCrunch
2021-01-28T19:36:35Z,Coinbase is going public via direct listing,TechCrunch
2021-01-15T21:06:19Z,Coinbase commits to a “better customer experience” following complaints,TechCrunch
2021-01-04T22:43:47Z,Jack Dorsey says proposed cryptocurrency regulation would create ‘perverse incentives’,The Verge
2021-01-03T18:45:00Z,Bitcoin Surges 25% In One Week. Warren Buffett Still Won't Buy It,Slashdot.org
2021-01-04T10:34:00Z,Bitcoin slumps 14% after weekend surge - Reuters,Reuters
2021-01-04T11:07:19Z,Bitcoin trades near Sunday record - Reuters.com,Reuters
2021-01-04T11:02:23Z,Bitcoin trades near Sunday record - Reuters.com,Reuters
2021-01-04T02:05:00Z,"Bitcoin trading at $32,990, off Sunday record high of $34,800 - Reuters",Reuters
2021-01-15T11:35:00Z,"Pro-Trump Extremists Got $520,000 in Bitcoin a Month Before Capitol Coup Attempt: Report",Gizmodo.com
2021-01-27T15:55:00Z,"Bitcoin slips below $30,000 - Reuters",Reuters
2021-01-08T16:00:00Z,Don't Use Telegram's New 'People Nearby' Feature,Lifehacker.com
2021-01-04T11:32:00Z,"Bitcoin slumps, slamming brakes on New Year rally - Reuters India",Reuters
date,headline,source
2021-02-08T14:01:09Z,"Tesla buys $1.5 in Bitcoin, will soon accept it as payment",Engadget
2021-02-09T23:10:46Z,Tesla’s $1.5 billion bitcoin purchase clashes with its environmental aspirations,The Verge
2021-02-09T12:00:00Z,Would You Trade a Bitcoin for a Tesla?,Wired
2021-02-12T10:51:25Z,Jack Dorsey and Jay Z invest $23.6 million to fund Bitcoin development,TechCrunch
2021-02-08T13:02:03Z,"Tesla buys $1.5B in bitcoin, may accept the cryptocurrency as payment in the future",TechCrunch
