date,headline,source,sent
2020-05-16,J.K. Rowling is four cocktails in and talking trash about Bitcoin,Mashable
2020-05-08,Teenager Accused of Leading Ring of 'Evil Geniuses' on $24 Million 'Cybercrime Spree',Gizmodo.com
2020-05-08,A massive Bitcoin event is coming next week. Here’s what you need to know.,Mashable
2020-05-13,FalconX raises $17M to power its crypto trading service,TechCrunch
2020-05-11,It Happened: Bitcoin Just Experienced Third Halving In Its History,Slashdot.org
2020-05-08,"The crypto market grows by $13 billion as bitcoin breaks the $10,000 threshold for the first time since February (BTC)",Business Insider
2020-05-28,"Goldman Sachs lists 5 reasons why bitcoin is 'not an asset class', nor 'a suitable investment' (BTCUSD)",Business Insider
2020-05-14,JPMorgan Extends Banking Services To Bitcoin Exchanges,Slashdot.org
2020-05-25,Satoshi Nakaboto: ‘Bitcoin continues downtrend with 5% loss in one day’,The Next Web
2020-05-26,Satoshi Nakaboto: ‘Visa approves launch of crypto debit card in Europe’,The Next Web
2020-05-22,8 Reasons Why This Could Be the Time to Take Bitcoin Seriously,Entrepreneur
2020-05-11,"Equity Monday: Kingsoft Cloud, Shiprocket, and who wants to make a contrarian investment?",TechCrunch
2020-05-14,Satoshi Nakaboto: ‘Ex-Facebook exec urges people to buy Bitcoin… again’,The Next Web
2020-05-11,Satoshi Nakaboto: ‘Nouriel Roubini says Bitcoin is a total scam — again’,The Next Web
2020-05-04,Satoshi Nakaboto: ‘Here’s what experts expect from the Bitcoin halving’,The Next Web
2020-05-06,"Gambling on Bitcoin with Trump’s $1,200 corona check was a good bet",The Next Web
2020-05-15,Satoshi Nakaboto: ‘Bitcoin rises 5% for second consecutive day’,The Next Web
2020-05-08,"Satoshi Nakaboto: ‘Bitcoin close to $10,000’",The Next Web
2020-05-01,Satoshi Nakaboto: ‘Bitcoin overtakes gold as best-performing asset of 2020’,The Next Web
2020-05-28,Satoshi Nakaboto: ‘Bitcoin is a bad investment according to Goldman Sachs’,The Next Web
2020-05-29,Satoshi Nakaboto: ‘Winklevoss deal brings BTC trade to Samsung users in US and Canada’,The Next Web
2020-05-29,Elon Musk just earned $780 million from Tesla — but there’s a catch,The Next Web
2020-06-01,"Bitcoin Could Be About To Surge To $100,000 After Stock-To-Flow Update Revealed",Forbes
2020-05-30,J.P. Morgan—Bitcoin’s ‘Biggest Enemy’—Suddenly Appears To Be Going All In On Crypto,Forbes
