price,balance,btc,action,netBalance
7522,9985.605897998244,0,Sell,9985.605897998244
7337,0,1.3609930350277013,Buy,9985.605897998244
7221,9827.730705935031,0,Sell,9827.730705935031
7202,9827.730705935031,0,Sell,9827.730705935031
7189,9827.730705935031,0,Sell,9827.730705935031
7252,9827.730705935031,0,Sell,9827.730705935031
7068,0,1.3904542594701517,Buy,9827.730705935031
7111,0,1.3904542594701517,Buy,9887.520239092248
6880,0,1.3904542594701517,Buy,9566.325305154644
6612,0,1.3904542594701517,Buy,9193.683563616643
7284,0,1.3904542594701517,None,10128.068825980585
7151,0,1.3904542594701517,Buy,9943.138409471054
7190,9997.36612559039,0,Sell,9997.36612559039
7143,0,1.3996032655173443,Buy,9997.36612559039
7514,10516.618937097324,0,Sell,10516.618937097324
7322,0,1.436304143280159,Buy,10516.618937097324
7251,10414.641342924433,0,Sell,10414.641342924433
7193,10414.641342924433,0,Sell,10414.641342924433
7194,10414.641342924433,0,Sell,10414.641342924433
7244,10414.641342924433,0,Sell,10414.641342924433
7301,0,1.4264677911141532,Buy,10414.641342924433
7385,0,1.4264677911141532,Buy,10534.464637378022
7220,0,1.4264677911141532,None,10299.097451844187
7168,10224.921126706251,0,Sell,10224.921126706251
7176,10224.921126706251,0,Sell,10224.921126706251
6944,10224.921126706251,0,Sell,10224.921126706251
7326,0,1.3957031294985327,Buy,10224.921126706251
7348,0,1.3957031294985327,Buy,10255.626595555219
7352,0,1.3957031294985327,Buy,10261.209408073213
7759,0,1.3957031294985327,None,10829.260581779115
8165,0,1.3957031294985327,Buy,11395.91605235552
8043,0,1.3957031294985327,None,11225.640270556698
7818,0,1.3957031294985327,Buy,10911.607066419529
8185,0,1.3957031294985327,Buy,11423.830114945491
8021,0,1.3957031294985327,None,11194.93480170773
8174,0,1.3957031294985327,Buy,11408.477380521006
8105,0,1.3957031294985327,Buy,11312.173864585608
8842,0,1.3957031294985327,Buy,12340.807071026025
8814,0,1.3957031294985327,None,12301.727383400068
8722,12173.322695486202,0,Sell,12173.322695486202
8900,0,1.367789066908562,Buy,12173.322695486202
8911,0,1.367789066908562,Buy,12188.368375222195
8703,0,1.367789066908562,Buy,11903.868249305215
8626,0,1.367789066908562,Buy,11798.548491153255
8722,11929.856241576477,0,Sell,11929.856241576477
8659,0,1.3777406445982767,Buy,11929.856241576477
8388,0,1.3777406445982767,Buy,11556.488526890345
8428,0,1.3777406445982767,Buy,11611.598152674276
8327,0,1.3777406445982767,Buy,11472.44634756985
8588,0,1.3777406445982767,Buy,11832.036655810001
8896,0,1.3777406445982767,Buy,12256.38077434627
9386,0,1.3777406445982767,Buy,12931.473690199426
9280,0,1.3777406445982767,None,12785.433181872007
9502,13091.291604972825,0,Sell,13091.291604972825
9334,13091.291604972825,0,None,13091.291604972825
9378,0,1.3959577313897233,Buy,13091.291604972825
9315,0,1.3959577313897233,None,13003.346267895273
9285,0,1.3959577313897233,None,12961.467535953581
9162,0,1.3959577313897233,Buy,12789.764734992645
9615,0,1.3959577313897233,Buy,13422.13358731219
9756,13618.963627438141,0,Sell,13618.963627438141
9808,13618.963627438141,0,None,13618.963627438141
9907,0,1.3746808950679459,Buy,13618.96362743814
10162,0,1.3746808950679459,Buy,13969.507255680466
9855,0,1.3746808950679459,None,13547.480220894608
10275,14124.846196823144,0,Sell,14124.846196823144
10354,14124.846196823144,0,None,14124.846196823144
10242,14124.846196823144,0,Sell,14124.846196823144
